Specimen ID,Repeat or New Specimen?,Shipment,Species,Location,Month,Year,Sex,Stomach Goo,Intestinal Goo,,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age
EB24PH055-S,New,3,bearded seal,Point Hope,JUN,2024,M,Yes,no,No,No,unk,unk,unk,unk,NA
EB24PH075-S,New,3,bearded seal,Point Hope,JUN,2024,F,Yes,no,No,Yes,unk,unk,unk,unk,NA
PH22SH004-S,New,3,ringed seal,Shishmaref,OCT,2022,F,Yes,no,No,Yes,no,no,no,no,3
PH22SH005-S,New,3,ringed seal,Shishmaref,OCT,2022,F,Yes,no,Yes,No,no,no,no,no,2
PH22SH015-S,New,3,ringed seal,Shishmaref,OCT,2022,M,Yes,no,No,Yes,no,no,no,no,15
PH22SH036-S,New,3,ringed seal,Shishmaref,OCT,2022,M,Yes,no,No,Yes,no,no,no,no,21
PH22SH043-S,New,3,ringed seal,Shishmaref,OCT,2022,F,Yes,no,No,Yes,no,no,no,no,7
PH23GAM007-S,New,3,ringed seal,Gambell,JUN,2023,F,Yes,no,Yes,No,no,no,no,no,0
PH23SH005-S,New,3,ringed seal,Shishmaref,SEP,2023,M,Yes,no,Yes,No,no,no,no,no,4
PH23SH013-S,New,3,ringed seal,Shishmaref,OCT,2023,M,Yes,no,Yes,No,no,no,no,no,0
PH23SH032-S,New,3,ringed seal,Shishmaref,OCT,2023,M,Yes,no,No,Yes,no,no,no,no,2
PH24GAM014-S,New,3,ringed seal,Gambell,JUN,2024,F,Yes,no,Yes,No,no,no,no,no,NA
EB21GAM031-F,New,3,bearded seal,Gambell,MAY,2021,M,No,Yes,NA,NA,NA,NA,NA,NA,1
EB22GAM019-F,New,3,bearded seal,Gambell,MAY,2022,F,No,Yes,NA,NA,NA,NA,NA,NA,16
EB23PH005-F,New,3,bearded seal,Point Hope,JUN,2023,F,No,Yes,NA,NA,NA,NA,NA,NA,9
EB23PH028-F,New,3,bearded seal,Point Hope,JUN,2023,F,No,Yes,NA,NA,NA,NA,NA,NA,7
EB23SH008-F,New,3,bearded seal,Shishmaref,NOV,2023,F,No,Yes,NA,NA,NA,NA,NA,NA,0
EB23SH009-F,New,3,bearded seal,Shishmaref,OCT,2023,M,No,Yes,NA,NA,NA,NA,NA,NA,0
EB24GAM020-F,New,3,bearded seal,Gambell,MAY,2024,M,No,Yes,NA,NA,NA,NA,NA,NA,NA
EB24GAM027-F,New,3,bearded seal,Gambell,MAY,2024,M,No,Yes,NA,NA,NA,NA,NA,NA,NA
EB24PH055-F,New,3,bearded seal,Point Hope,JUN,2024,M,No,Yes,NA,NA,NA,NA,NA,NA,NA
EB24PH075-F,New,3,bearded seal,Point Hope,JUN,2024,F,No,Yes,NA,NA,NA,NA,NA,NA,NA
PH22SH004-F,New,3,ringed seal,Shishmaref,OCT,2022,F,No,Yes,NA,NA,NA,NA,NA,NA,3
PH22SH005-F,New,3,ringed seal,Shishmaref,OCT,2022,F,No,Yes,NA,NA,NA,NA,NA,NA,2
