Sample,Specimen.ID,Repeat.or.New.Specimen.,Shipment,Predator,Location,Month,Season,Year,Sex,Marker,Stomach.Goo,Intestinal.Goo,Location.in.body,X,Fish,Cephalopod,Shrimp,Polychaete,Other,Tooth_age
WADE-003-134,EB24PH075-F,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-032,DL20OME002,Replacement,2,beluga whale,Nome,SEP,Fall,2020,M,12S,Yes,no,,No,Yes,no,Yes,no,"Amphipod, crustacean",NA
WADE-003-032,DL20OME002,Replacement,2,beluga whale,Nome,SEP,Fall,2020,M,12S,Yes,no,stomach,No,Yes,no,Yes,no,"Amphipod, crustacean",NA
WADE-003-120,PH23SH032-S,New,3,ringed seal,Shishmaref,OCT,Fall,2023,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,2
WADE-003-111,EB24PH075-S,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,Yes,no,stomach,No,Yes,unk,unk,unk,unk,NA
WADE-003-111,EB24PH075-S,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,Yes,no,stomach,No,Yes,unk,unk,unk,unk,NA
WADE-003-123,PH22SH036-S,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,21
WADE-003-123,PH22SH036-S,New,3,ringed seal,Shishmaref,OCT,Fall,2022,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,21
WADE-003-135,PH22SH004-F,New,3,ringed seal,Shishmaref,OCT,Fall,2022,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,3
WADE-003-131,EB24GAM020-F,New,3,bearded seal,Gambell,MAY,Spring,2024,M,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
WADE-003-104,EB23PH005-S,New,3,bearded seal,Point Hope,JUN,Summer,2023,F,12S,Yes,no,stomach,No,Yes,unk,unk,unk,unk,9
WADE-003-120,PH23SH032-S,New,3,ringed seal,Shishmaref,OCT,Fall,2023,M,12S,Yes,no,stomach,No,Yes,no,no,no,no,2
WADE-003-045,DL23SCM001,Replacement,2,beluga whale,Scammon Bay,OCT,Fall,2023,F,12S,Yes,no,stomach,No,Yes,no,Yes,Yes,Echiurid,NA
WADE-003-134,EB24PH075-F,New,3,bearded seal,Point Hope,JUN,Summer,2024,F,12S,No,Yes,feces,NA,NA,NA,NA,NA,NA,NA
